g: 0.1 c: 0.08,g: 0.1 c: 1.0,g: 0.1 c: 10.0,g: 0.5 c: 0.08,g: 0.5 c: 1.0,g: 0.5 c: 10.0,g: 1 c: 0.08,g: 1 c: 1.0,g: 1 c: 10.0,g: 3 c: 0.08,g: 3 c: 1.0,g: 3 c: 10.0
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
91.24,93.6,92.87,90.03,93.35,93.84,87.67,93.35,93.72,86.16,86.89,87.07
